Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid
1,-5,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-5,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-5,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-5,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-5,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-5,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-5,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-5,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-5,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-4,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-4,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-4,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-4,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-4,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-4,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-4,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-4,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-4,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-3,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-3,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-3,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-3,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-3,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-3,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-3,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-3,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-3,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-2,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-2,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-2,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-2,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-2,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-2,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-2,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-2,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-2,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-1,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-1,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-1,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-1,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-1,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-1,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-1,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-1,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-1,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,0,IAE,30,0.0000,0.0000,0.0000,0.000000
1,0,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,0,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,0,IAE,30,0.0000,0.0000,0.0000,0.000000
2,0,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,0,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,0,IAE,30,0.0000,0.0000,0.0000,0.000000
3,0,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,0,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,1,IAE,30,0.0000,0.0000,0.0000,0.000000
1,1,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,1,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,1,IAE,30,0.0000,0.0000,0.0000,0.000000
2,1,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,1,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,1,IAE,30,0.0000,0.0000,0.0000,0.000000
3,1,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,1,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,2,IAE,30,0.0000,0.0000,0.0000,0.000000
1,2,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,2,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,2,IAE,30,0.0000,0.0000,0.0000,0.000000
2,2,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,2,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,2,IAE,30,0.0000,0.0000,0.0000,0.000000
3,2,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,2,E-FQ,30,0.0000,0.0000,0.0000,0.000000
