Profile,SNR_dB,Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
2,0,S1_Warp,E-FQ,NORMAL,S,0.844545,0.819012,0.597245,1.060983
2,0,S1_Warp,E-FQ,NORMAL,NIS,1.040507,0.500035,0.021170,2.883434
2,0,S1_Warp,E-FQ,NORMAL,Ppred11,0.333075,0.309116,0.253050,0.375779
2,0,S1_Warp,E-FQ,NORMAL,Ppred22,0.032094,0.017282,0.016635,0.018468
2,0,S1_Warp,E-FQ,NORMAL,tracking_error,-0.143017,-0.196048,-0.625867,0.443156
2,0,S2_Fade,A,PRE,m_reliability,0.523217,0.531273,0.456425,0.576059
2,0,S2_Fade,A,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,A,PRE,R_vb,0.455940,0.391140,0.100000,0.913406
2,0,S2_Fade,A,PRE,R_eff,0.455940,0.391140,0.100000,0.913406
2,0,S2_Fade,A,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,A,PRE,K_delay,0.540116,0.510490,0.369114,0.759039
2,0,S2_Fade,A,PRE,Q11,0.137997,0.137003,0.050000,0.217325
2,0,S2_Fade,A,PRE,Q22,0.002346,0.002271,0.001830,0.002992
2,0,S2_Fade,A,PRE,innovation,0.013331,-0.030510,-1.108684,1.322270
2,0,S2_Fade,A,PRE,abs_innovation,0.722796,0.544534,0.092441,1.742816
2,0,S2_Fade,A,PRE,S,0.923969,0.849871,0.375940,1.611534
2,0,S2_Fade,A,PRE,NIS,1.296921,0.358646,0.010064,3.848976
2,0,S2_Fade,A,PRE,Ppred11,0.468029,0.421909,0.229999,0.684255
2,0,S2_Fade,A,PRE,Ppred22,0.061854,0.025155,0.020480,0.037526
2,0,S2_Fade,A,PRE,tracking_error,0.000639,0.000000,-0.887532,0.898777
2,0,S2_Fade,A,FADE,m_reliability,0.190791,0.178208,0.075089,0.326469
2,0,S2_Fade,A,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,A,FADE,R_vb,1.343474,1.207613,0.466141,2.378679
2,0,S2_Fade,A,FADE,R_eff,1.343474,1.207613,0.466141,2.378679
2,0,S2_Fade,A,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,A,FADE,K_delay,0.441007,0.428580,0.329004,0.560681
2,0,S2_Fade,A,FADE,Q11,0.316304,0.316083,0.217145,0.420968
2,0,S2_Fade,A,FADE,Q22,0.001817,0.001808,0.001478,0.002195
2,0,S2_Fade,A,FADE,innovation,-0.017707,0.001012,-2.231466,2.118808
2,0,S2_Fade,A,FADE,abs_innovation,1.301030,1.225807,0.208735,2.529169
2,0,S2_Fade,A,FADE,S,2.264414,2.138648,1.014492,3.748060
2,0,S2_Fade,A,FADE,NIS,1.217272,0.716709,0.022985,3.017409
2,0,S2_Fade,A,FADE,Ppred11,0.920940,0.907564,0.512944,1.359304
2,0,S2_Fade,A,FADE,Ppred22,0.027267,0.027243,0.022309,0.032510
2,0,S2_Fade,A,FADE,tracking_error,0.054639,0.075647,-1.457197,1.583689
2,0,S2_Fade,A,POST,m_reliability,0.519748,0.528418,0.459143,0.570572
2,0,S2_Fade,A,POST,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,A,POST,R_vb,0.518902,0.444495,0.064105,1.076951
2,0,S2_Fade,A,POST,R_eff,0.518902,0.444495,0.064105,1.076951
2,0,S2_Fade,A,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,A,POST,K_delay,0.641314,0.616166,0.472149,0.867871
2,0,S2_Fade,A,POST,Q11,0.373551,0.373225,0.267969,0.481428
2,0,S2_Fade,A,POST,Q22,0.001247,0.001246,0.000942,0.001549
2,0,S2_Fade,A,POST,innovation,0.004560,-0.029512,-1.217951,1.399484
2,0,S2_Fade,A,POST,abs_innovation,0.749015,0.572591,0.098501,1.755839
2,0,S2_Fade,A,POST,S,1.235494,1.150570,0.472715,2.090208
2,0,S2_Fade,A,POST,NIS,0.939499,0.301066,0.008369,2.810224
2,0,S2_Fade,A,POST,Ppred11,0.716593,0.703039,0.394227,1.049816
2,0,S2_Fade,A,POST,Ppred22,0.024837,0.025015,0.019356,0.030061
2,0,S2_Fade,A,POST,tracking_error,0.006992,0.018478,-0.949740,0.970223
2,0,S2_Fade,VB-FQ,PRE,m_reliability,0.525481,0.532533,0.460872,0.576894
2,0,S2_Fade,VB-FQ,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,VB-FQ,PRE,R_vb,0.376876,0.358517,0.140610,0.612685
2,0,S2_Fade,VB-FQ,PRE,R_eff,0.376876,0.358517,0.140610,0.612685
2,0,S2_Fade,VB-FQ,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,VB-FQ,PRE,K_delay,0.455094,0.418703,0.361526,0.599402
2,0,S2_Fade,VB-FQ,PRE,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S2_Fade,VB-FQ,PRE,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S2_Fade,VB-FQ,PRE,innovation,0.004021,-0.035920,-1.075474,1.238318
2,0,S2_Fade,VB-FQ,PRE,abs_innovation,0.695104,0.516886,0.095622,1.654367
2,0,S2_Fade,VB-FQ,PRE,S,0.702956,0.639188,0.425453,1.010176
2,0,S2_Fade,VB-FQ,PRE,NIS,1.278247,0.419947,0.013987,4.297813
2,0,S2_Fade,VB-FQ,PRE,Ppred11,0.326080,0.265342,0.204336,0.391501
2,0,S2_Fade,VB-FQ,PRE,Ppred22,0.055134,0.016898,0.016019,0.042669
2,0,S2_Fade,VB-FQ,PRE,tracking_error,0.008424,0.000000,-0.880418,0.905956
2,0,S2_Fade,VB-FQ,FADE,m_reliability,0.193289,0.179437,0.077871,0.332075
2,0,S2_Fade,VB-FQ,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,VB-FQ,FADE,R_vb,0.799746,0.780147,0.413679,1.211627
2,0,S2_Fade,VB-FQ,FADE,R_eff,0.799746,0.780147,0.413679,1.211627
2,0,S2_Fade,VB-FQ,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,VB-FQ,FADE,K_delay,0.329684,0.320675,0.278695,0.394085
2,0,S2_Fade,VB-FQ,FADE,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S2_Fade,VB-FQ,FADE,Q22,0.002000,0.002000,0.002000,0.002000
