Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,C,PRE,tracking_error,0.163359,0.160141,-0.257091,0.574702
S2_Fade,C,FADE,m_reliability,0.681324,0.705533,0.505865,0.815652
S2_Fade,C,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,FADE,R_vb,0.414666,0.390045,0.192476,0.662839
S2_Fade,C,FADE,R_eff,0.414666,0.390045,0.192476,0.662839
S2_Fade,C,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,FADE,K_delay,0.632240,0.622900,0.534108,0.739034
S2_Fade,C,FADE,Q11,0.338709,0.339738,0.289498,0.395554
S2_Fade,C,FADE,Q22,0.002056,0.002068,0.001873,0.002248
S2_Fade,C,FADE,tracking_error,0.214852,0.210848,-0.363770,0.759817
S2_Fade,C,POST,m_reliability,0.851206,0.851146,0.834374,0.867547
S2_Fade,C,POST,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,POST,R_vb,0.279604,0.215862,0.107497,0.615936
S2_Fade,C,POST,R_eff,0.279604,0.215862,0.107497,0.615936
S2_Fade,C,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,POST,K_delay,0.743253,0.756927,0.600406,0.851068
S2_Fade,C,POST,Q11,0.470457,0.468186,0.386891,0.564704
S2_Fade,C,POST,Q22,0.001655,0.001644,0.001434,0.001887
S2_Fade,C,POST,tracking_error,0.220125,0.223558,-0.339441,0.765429
S2_Fade,E,NORMAL,m_reliability,0.824933,0.843202,0.770890,0.866419
S2_Fade,E,NORMAL,Lambda,1.513107,1.395370,1.323504,1.660505
S2_Fade,E,NORMAL,R_vb,0.527050,0.576454,0.293802,0.711513
S2_Fade,E,NORMAL,R_eff,0.810804,0.805385,0.401452,1.138031
S2_Fade,E,NORMAL,R_eff_R_vb,1.513107,1.395370,1.323504,1.660505
S2_Fade,E,NORMAL,K_delay,0.516891,0.444471,0.347492,0.740523
S2_Fade,E,NORMAL,Q11,0.255970,0.184313,0.085155,0.526183
S2_Fade,E,NORMAL,Q22,0.020165,0.006211,0.000874,0.064438
S2_Fade,E,NORMAL,tracking_error,0.153849,0.146385,-0.245605,0.570070
S2_Fade,E,PRE,m_reliability,0.850049,0.848625,0.833292,0.866351
S2_Fade,E,PRE,Lambda,1.374570,1.378071,1.323707,1.427820
S2_Fade,E,PRE,R_vb,0.347990,0.361303,0.212316,0.470615
S2_Fade,E,PRE,R_eff,0.478707,0.495442,0.298101,0.652870
S2_Fade,E,PRE,R_eff_R_vb,1.374570,1.378071,1.323707,1.427820
S2_Fade,E,PRE,K_delay,0.705257,0.707780,0.612972,0.771526
S2_Fade,E,PRE,Q11,0.436249,0.413804,0.284161,0.640880
S2_Fade,E,PRE,Q22,0.047290,0.040930,0.016211,0.085865
S2_Fade,E,PRE,tracking_error,0.213385,0.211608,-0.323149,0.724613
S2_Fade,E,FADE,m_reliability,0.679464,0.701098,0.507352,0.808196
S2_Fade,E,FADE,Lambda,2.311050,1.994019,1.515198,3.676949
S2_Fade,E,FADE,R_vb,0.603980,0.603582,0.423918,0.823444
S2_Fade,E,FADE,R_eff,1.412177,1.253744,0.693150,2.360634
S2_Fade,E,FADE,R_eff_R_vb,2.311050,1.994019,1.515198,3.676949
S2_Fade,E,FADE,K_delay,0.472629,0.459844,0.368784,0.582655
S2_Fade,E,FADE,Q11,0.264413,0.240287,0.172310,0.405140
S2_Fade,E,FADE,Q22,0.010650,0.009632,0.005536,0.017391
S2_Fade,E,FADE,tracking_error,0.143687,0.121657,-0.268734,0.615703
S2_Fade,E,POST,m_reliability,0.850592,0.848354,0.833908,0.867615
S2_Fade,E,POST,Lambda,1.372954,1.378929,1.319953,1.425771
S2_Fade,E,POST,R_vb,0.642100,0.626833,0.571621,0.738897
S2_Fade,E,POST,R_eff,0.881833,0.854211,0.780541,1.024111
S2_Fade,E,POST,R_eff_R_vb,1.372954,1.378929,1.319953,1.425771
S2_Fade,E,POST,K_delay,0.384483,0.379320,0.340081,0.435208
S2_Fade,E,POST,Q11,0.113479,0.104706,0.079335,0.159955
S2_Fade,E,POST,Q22,0.002073,0.001532,0.000721,0.004206
S2_Fade,E,POST,tracking_error,0.110811,0.116451,-0.211958,0.403338
