Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,C,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,POST,K_delay,0.736856,0.747727,0.596889,0.849299
S2_Fade,C,POST,Q11,0.474880,0.475099,0.386746,0.562153
S2_Fade,C,POST,Q22,0.001672,0.001664,0.001449,0.001910
S2_Fade,C,POST,tracking_error,0.250468,0.259521,-0.291591,0.795996
S2_Fade,E,NORMAL,m_reliability,0.825142,0.843932,0.770890,0.866567
S2_Fade,E,NORMAL,Lambda,1.511798,1.393022,1.323062,1.660505
S2_Fade,E,NORMAL,R_vb,0.529232,0.571113,0.296405,0.713989
S2_Fade,E,NORMAL,R_eff,0.813211,0.801347,0.404518,1.157605
S2_Fade,E,NORMAL,R_eff_R_vb,1.511798,1.393022,1.323062,1.660505
S2_Fade,E,NORMAL,K_delay,0.527044,0.454863,0.355991,0.752745
S2_Fade,E,NORMAL,Q11,0.284819,0.196659,0.090698,0.605679
S2_Fade,E,NORMAL,Q22,0.021680,0.006918,0.000969,0.069084
S2_Fade,E,NORMAL,tracking_error,0.185203,0.176563,-0.219237,0.598445
S2_Fade,E,PRE,m_reliability,0.850341,0.849551,0.833412,0.866934
S2_Fade,E,PRE,Lambda,1.373650,1.375151,1.321973,1.427420
S2_Fade,E,PRE,R_vb,0.349104,0.365998,0.206653,0.472273
S2_Fade,E,PRE,R_eff,0.479939,0.498228,0.280935,0.654078
S2_Fade,E,PRE,R_eff_R_vb,1.373650,1.375151,1.321973,1.427420
S2_Fade,E,PRE,K_delay,0.717146,0.719881,0.627676,0.786818
S2_Fade,E,PRE,Q11,0.489399,0.458099,0.286227,0.773977
S2_Fade,E,PRE,Q22,0.050614,0.044288,0.018520,0.093229
S2_Fade,E,PRE,tracking_error,0.237263,0.248173,-0.317425,0.778855
S2_Fade,E,FADE,m_reliability,0.680716,0.706670,0.508368,0.810048
S2_Fade,E,FADE,Lambda,2.302672,1.963872,1.508477,3.663292
S2_Fade,E,FADE,R_vb,0.606230,0.593720,0.448712,0.791409
S2_Fade,E,FADE,R_eff,1.410802,1.255481,0.721360,2.377094
S2_Fade,E,FADE,R_eff_R_vb,2.302672,1.963872,1.508477,3.663292
S2_Fade,E,FADE,K_delay,0.485125,0.474781,0.386242,0.599426
S2_Fade,E,FADE,Q11,0.296720,0.258706,0.174815,0.471728
S2_Fade,E,FADE,Q22,0.011809,0.010487,0.005953,0.019260
S2_Fade,E,FADE,tracking_error,0.190724,0.187788,-0.238223,0.616167
S2_Fade,E,POST,m_reliability,0.850413,0.851334,0.833218,0.867199
S2_Fade,E,POST,Lambda,1.373539,1.369551,1.321186,1.428068
S2_Fade,E,POST,R_vb,0.645091,0.630791,0.563037,0.746459
S2_Fade,E,POST,R_eff,0.886326,0.864281,0.769032,1.032059
S2_Fade,E,POST,R_eff_R_vb,1.373539,1.369551,1.321186,1.428068
S2_Fade,E,POST,K_delay,0.392561,0.386296,0.346507,0.446818
S2_Fade,E,POST,Q11,0.122399,0.111840,0.083950,0.171980
S2_Fade,E,POST,Q22,0.002294,0.001701,0.000787,0.004616
S2_Fade,E,POST,tracking_error,0.143099,0.147574,-0.165834,0.442931
S2_Fade,E-VB-only,NORMAL,m_reliability,0.819605,0.845334,0.749391,0.866198
S2_Fade,E-VB-only,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,NORMAL,R_vb,0.138743,0.135146,0.110870,0.173983
S2_Fade,E-VB-only,NORMAL,R_eff,0.138743,0.135146,0.110870,0.173983
S2_Fade,E-VB-only,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,NORMAL,K_delay,0.925057,0.929892,0.888950,0.955345
S2_Fade,E-VB-only,NORMAL,Q11,1.403929,1.388446,0.748696,2.084508
S2_Fade,E-VB-only,NORMAL,Q22,0.060108,0.048685,0.023489,0.115952
S2_Fade,E-VB-only,NORMAL,tracking_error,0.198434,0.198372,-0.634773,1.038461
S2_Fade,E-VB-only,PRE,m_reliability,0.843659,0.848273,0.823971,0.866591
S2_Fade,E-VB-only,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,PRE,R_vb,0.136313,0.134443,0.106562,0.176099
S2_Fade,E-VB-only,PRE,R_eff,0.136313,0.134443,0.106562,0.176099
S2_Fade,E-VB-only,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,PRE,K_delay,0.919346,0.925460,0.874887,0.955767
S2_Fade,E-VB-only,PRE,Q11,1.208040,1.174478,0.471885,1.977425
S2_Fade,E-VB-only,PRE,Q22,0.094470,0.094495,0.052662,0.139233
S2_Fade,E-VB-only,PRE,tracking_error,0.201784,0.173477,-0.592534,1.014502
S2_Fade,E-VB-only,FADE,m_reliability,0.674525,0.698061,0.503014,0.811168
S2_Fade,E-VB-only,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,FADE,R_vb,0.141484,0.136584,0.113585,0.174082
S2_Fade,E-VB-only,FADE,R_eff,0.141484,0.136584,0.113585,0.174082
S2_Fade,E-VB-only,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,FADE,K_delay,0.934934,0.939770,0.902917,0.959165
S2_Fade,E-VB-only,FADE,Q11,1.677450,1.617745,1.027865,2.424077
S2_Fade,E-VB-only,FADE,Q22,0.059325,0.058800,0.038472,0.080116
S2_Fade,E-VB-only,FADE,tracking_error,0.204679,0.220553,-0.705722,1.135040
S2_Fade,E-VB-only,POST,m_reliability,0.845966,0.849940,0.831233,0.866863
S2_Fade,E-VB-only,POST,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,POST,R_vb,0.139778,0.135061,0.112309,0.172546
S2_Fade,E-VB-only,POST,R_eff,0.139778,0.135061,0.112309,0.172546
S2_Fade,E-VB-only,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,POST,K_delay,0.926423,0.930128,0.895000,0.953111
S2_Fade,E-VB-only,POST,Q11,1.471025,1.445257,0.912421,2.052964
S2_Fade,E-VB-only,POST,Q22,0.033692,0.031880,0.020456,0.049077
S2_Fade,E-VB-only,POST,tracking_error,0.193896,0.211184,-0.649634,1.037113
S2_Fade,E-CAL,NORMAL,rho_raw,0.822928,0.838782,0.733670,0.891592
S2_Fade,E-CAL,NORMAL,rho_relative,0.950523,0.993129,0.836791,1.000000
S2_Fade,E-CAL,NORMAL,m_reliability,0.950171,0.988717,0.843927,1.000000
S2_Fade,E-CAL,NORMAL,Lambda,1.125386,1.015527,1.000000,1.246385
S2_Fade,E-CAL,NORMAL,R_vb,0.231791,0.242485,0.126027,0.335446
S2_Fade,E-CAL,NORMAL,R_eff,0.261721,0.258252,0.130793,0.389841
S2_Fade,E-CAL,NORMAL,R_eff_R_vb,1.125386,1.015527,1.000000,1.246385
S2_Fade,E-CAL,NORMAL,K_delay,0.852029,0.855131,0.758627,0.936998
S2_Fade,E-CAL,NORMAL,Q11,1.071613,1.007117,0.475036,1.749725
S2_Fade,E-CAL,NORMAL,Q22,0.053665,0.039611,0.012813,0.116491
S2_Fade,E-CAL,NORMAL,tracking_error,0.213837,0.220718,-0.512498,0.945202
S2_Fade,E-CAL,PRE,rho_raw,0.843904,0.840408,0.799147,0.892748
S2_Fade,E-CAL,PRE,rho_relative,0.957024,0.990397,0.843863,1.000000
S2_Fade,E-CAL,PRE,m_reliability,0.957076,0.983829,0.850758,1.000000
S2_Fade,E-CAL,PRE,Lambda,1.034463,1.011509,1.000000,1.064957
S2_Fade,E-CAL,PRE,R_vb,0.145355,0.148241,0.109754,0.186450
S2_Fade,E-CAL,PRE,R_eff,0.150670,0.152293,0.110915,0.194261
S2_Fade,E-CAL,PRE,R_eff_R_vb,1.034463,1.011509,1.000000,1.064957
S2_Fade,E-CAL,PRE,K_delay,0.913737,0.920894,0.870336,0.948020
S2_Fade,E-CAL,PRE,Q11,1.208174,1.195966,0.469013,1.932689
S2_Fade,E-CAL,PRE,Q22,0.094494,0.094693,0.050732,0.138992
S2_Fade,E-CAL,PRE,tracking_error,0.197382,0.175064,-0.598070,1.017729
S2_Fade,E-CAL,FADE,rho_raw,0.677391,0.699341,0.498622,0.822668
S2_Fade,E-CAL,FADE,rho_relative,0.803297,0.833554,0.591434,0.977656
S2_Fade,E-CAL,FADE,m_reliability,0.801942,0.830495,0.591776,0.963606
S2_Fade,E-CAL,FADE,Lambda,1.696783,1.437186,1.075340,2.755276
S2_Fade,E-CAL,FADE,R_vb,0.235193,0.223849,0.149532,0.333955
S2_Fade,E-CAL,FADE,R_eff,0.404859,0.356942,0.173315,0.708518
S2_Fade,E-CAL,FADE,R_eff_R_vb,1.696783,1.437186,1.075340,2.755276
S2_Fade,E-CAL,FADE,K_delay,0.846688,0.850210,0.760174,0.925704
S2_Fade,E-CAL,FADE,Q11,1.431843,1.369511,0.817795,2.111130
S2_Fade,E-CAL,FADE,Q22,0.053324,0.052423,0.030942,0.077149
S2_Fade,E-CAL,FADE,tracking_error,0.200212,0.208647,-0.587555,1.001048
S2_Fade,E-CAL,POST,rho_raw,0.851820,0.841923,0.816405,0.892063
S2_Fade,E-CAL,POST,rho_relative,0.991170,1.000000,0.968067,1.000000
S2_Fade,E-CAL,POST,m_reliability,0.990817,0.994646,0.974921,1.000000
S2_Fade,E-CAL,POST,Lambda,1.018599,1.010581,1.000000,1.051037
S2_Fade,E-CAL,POST,R_vb,0.297798,0.292096,0.243792,0.368652
S2_Fade,E-CAL,POST,R_eff,0.303459,0.297147,0.246922,0.376587
S2_Fade,E-CAL,POST,R_eff_R_vb,1.018599,1.010581,1.000000,1.051037
S2_Fade,E-CAL,POST,K_delay,0.805809,0.812332,0.730656,0.864400
S2_Fade,E-CAL,POST,Q11,0.853865,0.828825,0.444284,1.288292
S2_Fade,E-CAL,POST,Q22,0.022093,0.019879,0.010616,0.037096
S2_Fade,E-CAL,POST,tracking_error,0.230831,0.252685,-0.425366,0.862181
S3_Warp_Fade,C,NORMAL,m_reliability,0.836530,0.866860,0.742919,0.882985
S3_Warp_Fade,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,NORMAL,R_vb,0.314818,0.294740,0.079567,0.582470
S3_Warp_Fade,C,NORMAL,R_eff,0.314818,0.294740,0.079567,0.582470
S3_Warp_Fade,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,NORMAL,K_delay,0.661287,0.653236,0.490572,0.861441
S3_Warp_Fade,C,NORMAL,Q11,0.292304,0.305592,0.099787,0.454021
S3_Warp_Fade,C,NORMAL,Q22,0.002032,0.001945,0.001447,0.002875
S3_Warp_Fade,C,NORMAL,tracking_error,-0.401045,-0.398044,-0.872283,0.057161
S3_Warp_Fade,C,PRE,m_reliability,0.855643,0.869665,0.844741,0.888685
S3_Warp_Fade,C,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,PRE,R_vb,0.334621,0.333927,0.100000,0.566857
S3_Warp_Fade,C,PRE,R_eff,0.334621,0.333927,0.100000,0.566857
S3_Warp_Fade,C,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,PRE,K_delay,0.582765,0.557686,0.443293,0.779953
S3_Warp_Fade,C,PRE,Q11,0.152445,0.151710,0.050000,0.242403
S3_Warp_Fade,C,PRE,Q22,0.002574,0.002534,0.002000,0.003175
S3_Warp_Fade,C,PRE,tracking_error,-0.401391,-0.388084,-0.819561,0.000000
S3_Warp_Fade,C,FADE,m_reliability,0.691935,0.718166,0.517235,0.825320
S3_Warp_Fade,C,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,FADE,R_vb,0.381682,0.341397,0.120673,0.684190
S3_Warp_Fade,C,FADE,R_eff,0.381682,0.341397,0.120673,0.684190
S3_Warp_Fade,C,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,FADE,K_delay,0.632647,0.622037,0.507375,0.772627
S3_Warp_Fade,C,FADE,Q11,0.292905,0.289589,0.233089,0.354839
S3_Warp_Fade,C,FADE,Q22,0.002046,0.002058,0.001810,0.002277
S3_Warp_Fade,C,FADE,tracking_error,-0.416548,-0.420582,-0.913099,0.060585
S3_Warp_Fade,C,POST,m_reliability,0.866574,0.869136,0.847941,0.882102
