Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,C,POST,coherent_fraction,0.039389,0.035450,0.003550,0.079289
S2_Fade,C,POST,tracking_error,0.250468,0.259521,-0.291591,0.795996
S2_Fade,E,NORMAL,R_vb,0.529232,0.571113,0.296405,0.713989
S2_Fade,E,NORMAL,R_eff,0.813211,0.801347,0.404518,1.157605
S2_Fade,E,NORMAL,R_eff_R_vb,1.511798,1.393022,1.323062,1.660505
S2_Fade,E,NORMAL,K_delay,0.527044,0.454863,0.355991,0.752745
S2_Fade,E,NORMAL,Q11,0.284819,0.196659,0.090698,0.605679
S2_Fade,E,NORMAL,Q22,0.021680,0.006918,0.000969,0.069084
S2_Fade,E,NORMAL,abs_innovation,0.789234,0.599985,0.328890,1.444260
S2_Fade,E,NORMAL,NIS,0.541293,0.222606,0.063746,1.391406
S2_Fade,E,NORMAL,directional_consistency,0.204547,0.202951,0.071112,0.313728
S2_Fade,E,NORMAL,coherent_fraction,0.041576,0.032905,0.003827,0.077007
S2_Fade,E,NORMAL,tracking_error,0.185203,0.176563,-0.219237,0.598445
S2_Fade,E,PRE,R_vb,0.349104,0.365998,0.206653,0.472273
S2_Fade,E,PRE,R_eff,0.479939,0.498228,0.280935,0.654078
S2_Fade,E,PRE,R_eff_R_vb,1.373650,1.375151,1.321973,1.427420
S2_Fade,E,PRE,K_delay,0.717146,0.719881,0.627676,0.786818
S2_Fade,E,PRE,Q11,0.489399,0.458099,0.286227,0.773977
S2_Fade,E,PRE,Q22,0.050614,0.044288,0.018520,0.093229
S2_Fade,E,PRE,abs_innovation,0.893438,0.646037,0.350076,1.518730
S2_Fade,E,PRE,NIS,0.721492,0.253069,0.068971,1.825353
S2_Fade,E,PRE,directional_consistency,0.186559,0.191790,0.049463,0.309085
S2_Fade,E,PRE,coherent_fraction,0.035832,0.029042,0.001920,0.075393
S2_Fade,E,PRE,tracking_error,0.237263,0.248173,-0.317425,0.778855
S2_Fade,E,FADE,R_vb,0.606230,0.593720,0.448712,0.791409
S2_Fade,E,FADE,R_eff,1.410802,1.255481,0.721360,2.377094
S2_Fade,E,FADE,R_eff_R_vb,2.302672,1.963872,1.508477,3.663292
S2_Fade,E,FADE,K_delay,0.485125,0.474781,0.386242,0.599426
S2_Fade,E,FADE,Q11,0.296720,0.258706,0.174815,0.471728
