ProfileID,Trial,SymbolIdx,Phase,m_k,z_k,epsilon_true_k,e_meas_k
P1,1,92,POST,1,-13.6562938716628,-13.3388587655219,0.678308840380298
P1,1,93,POST,0.984846690592582,-15.4662505448594,-13.5018100561588,-0.968696542179392
P1,1,94,POST,0.97910560812855,-15.0042641050596,-13.6655208565468,-0.342999301991613
P1,1,95,POST,0.982990854240367,-15.1954796927033,-13.8299887549778,-0.369746991204304
P1,1,96,POST,0.967152807497085,-15.7410194008561,-13.9952113217525,-0.750064132582359
P1,1,97,POST,0.978152406928151,-14.7131834358681,-14.1611861093063,0.443746619959382
P1,1,98,POST,0.973463453508593,-16.5834494523329,-14.3279106522298,-1.25979485358186
P1,1,99,POST,0.973410549132835,-15.5915962918021,-14.4953824672669,-0.100469878014039
P1,1,100,POST,0.994173260763311,-15.996378506392,-14.6635990535566,-0.337035506314114
P1,1,101,POST,0.976793053727654,-16.432720768769,-14.8325578925323,-0.604418929715436
P1,1,102,POST,0.954362663376435,-17.0154280844453,-15.0022564479961,-1.01742768992792
P1,1,103,POST,0.971396555578969,-15.7944055094544,-15.1726921662441,0.374030603310892
P1,1,104,POST,1,-15.8012658748994,-15.3438624760742,0.538340547696048
P1,1,105,POST,0.979055862983187,-17.5598847436911,-15.5157647888906,-1.04837600827923
P1,1,106,POST,0.973898580966913,-17.034454837501,-15.6883964987298,-0.35031439224997
P1,1,107,POST,0.977598283528836,-17.3325649929497,-15.8617549822875,-0.475066064140982
P1,1,108,POST,0.960553406961724,-17.8864882465561,-16.0358375990999,-0.854906700934972
P1,1,109,POST,0.977388774837751,-16.9553485733094,-16.2106416915062,0.251037064718062
P1,1,110,POST,1,-16.9064532818111,-16.3861645846968,0.47545524940691
P1,1,111,POST,0.980244150016651,-18.7954730333272,-16.5624035869048,-1.23732549990124
P1,1,112,POST,0.974800982762183,-18.1672782394935,-16.7393559893103,-0.432178303661981
P1,1,113,POST,0.978889033058427,-18.526107286685,-16.9170190661738,-0.613344273989949
P1,1,114,POST,0.984355027476491,-17.4829882588822,-17.0953900749478,0.608145762586787
P1,1,115,POST,0.981843274963735,-19.0652479109869,-17.2744662562447,-0.795037708220907
P1,1,116,POST,0.981843274963735,-18.2558844220148,-17.454244834088,0.194104358594426
P1,1,117,POST,1,-18.5071503790404,-17.6347230156768,0.123316583157617
P1,1,118,POST,0.98870692656955,-18.9129934488177,-17.8158979916958,-0.101351510600654
P1,1,119,POST,0.96596755382338,-19.4880002401326,-17.99776693632,-0.494489357291343
P1,1,120,POST,0.954685136461296,-20.2047256130399,-18.1803270073271,-1.02865465919156
P1,1,121,POST,0.977158915303346,-19.1340846846188,-18.3635753459104,0.22523460781278
P1,2,1,PRE,0.479052066411208,-2.9403877655567,-1.94488674018256,0
P1,2,2,PRE,0.654004760693977,-2.81601369980157,-2.03110665309181,0.210593978664369
P1,2,3,PRE,0.895812759696911,-2.1534030267456,-2.11822428410557,0.960322282734111
P1,2,4,PRE,0.834797873555904,-4.70192607155371,-2.20623903764361,-1.50018600853597
P1,2,5,PRE,0.833105187816112,-2.98741802731365,-2.29515029685268,0.303233294913165
P1,2,6,PRE,0.896515519454361,-3.1415167350662,-2.38495742362388,0.238941713931818
P1,2,7,PRE,0.893365160431927,-3.09447216604827,-2.47565975858866,0.376688617914523
P1,2,8,PRE,0.868613077293058,-4.77291441153625,-2.56725662118473,-1.21015676497739
P1,2,9,PRE,0.970932951781445,-4.33081491500092,-2.65974730960084,-0.675566580025953
P1,2,10,PRE,0.976085249907334,-2.7959164679132,-2.7531311008806,0.952715658341541
P1,2,11,PRE,0.963957960946625,-4.43975284118084,-2.84740725083799,-0.596844564968716
P1,2,12,PRE,0.961678817866328,-4.54501028371694,-2.94257499414652,-0.606934264196283
P1,2,13,PRE,0.9789835912756,-3.52607223634377,-3.03863354437262,0.508062333402982
P1,2,14,PRE,0.974533660192144,-4.9951604157717,-3.13558209391696,-0.864077296480606
P1,2,15,PRE,0.974533660192144,-3.83691642005789,-3.2334198140811,0.392004419397337
P1,2,16,PRE,0.974227010335701,-5.54581077060235,-3.33214585510211,-1.21816389012611
P1,2,17,PRE,0.974227010335701,-4.41697658301143,-3.43175934613926,0.0102837885019671
P1,2,18,PRE,0.999798560001338,-4.47129083247283,-3.53225939531532,0.0564695882166228
P1,2,19,PRE,0.995864172969257,-4.72638648119839,-3.63364508973119,-0.0972403660930725
P1,2,20,PRE,0.985251922194898,-5.12600124649157,-3.73591549548324,-0.394584725634191
P1,2,21,PRE,0.968496860933791,-5.29140109207898,-3.83906965769665,-0.456830409008197
P1,2,22,PRE,0.956055419588856,-5.67664754536589,-3.94310660053332,-0.73803991945844
P1,2,23,PRE,0.976437700925274,-4.44956203657405,-4.04802532722659,0.593964316026675
P1,2,24,PRE,0.973564245923169,-6.05295180558877,-4.15382482009319,-0.903625960121444
P1,2,25,PRE,0.973564245923169,-4.56549024760193,-4.26050404059453,0.690514818366731
P1,2,26,PRE,0.978787529117876,-6.43417409360557,-4.36806192930606,-1.07061113892538
P1,2,27,PRE,0.978725966625777,-5.48704870482549,-4.47649740596656,-0.0150502734847935
P1,2,28,PRE,0.99795360456239,-5.39333442780137,-4.58580936950748,0.187975967080241
P1,2,29,PRE,0.990512162721017,-5.78115245752238,-4.69599669808485,-0.0896547340633926
P1,2,30,PRE,0.978957070758346,-6.0202575108795,-4.80705824911531,-0.217698236390053
P1,2,31,PRE,0.970249155332086,-6.21715178851974,-4.91899285924147,-0.302657903904141
P1,2,32,PRE,0.9541991289939,-6.91833514866901,-5.03179934443843,-0.891034778856444
P1,2,33,PRE,0.969873394523945,-5.40398613248971,-5.14547650000452,0.736991392888942
P1,2,34,PRE,0.977434913657573,-6.91858542443329,-5.2600231005866,-0.663061298472559
P1,2,35,PRE,0.977619930502599,-5.87873130294482,-5.37543790021999,0.492207622649305
P1,2,36,PRE,0.98009356323397,-7.5294884449677,-5.49171963235251,-1.04226778724105
P1,2,37,PRE,0.98009356323397,-6.83977785278429,-5.6088670098644,-0.23540981754575
P1,2,38,PRE,0.990872031211328,-7.19066061022144,-5.72687872511368,-0.468280859733619
P1,2,39,PRE,0.971131215248765,-7.46418844548538,-5.84575344997207,-0.622933970139178
P1,2,40,PRE,0.949612628838726,-8.1490710126379,-5.96548983585432,-1.18808015140945
P1,2,41,PRE,0.966416032758606,-6.82615405456672,-6.08608651371689,0.255433484524304
P1,2,42,PRE,0.994895611851658,-6.63292753637753,-6.20754209416319,0.570115583159795
P1,2,43,PRE,0.974633910851494,-8.20208804567392,-6.32985516737694,-0.876731852922848
