Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid,Wilson_Lower,Wilson_Upper
Profile P2: Tx15m / 20km / Rx3467m,-4,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-3,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-2,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-1,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,0,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-14,IAE,20,0.0000,0.0500,0.0500,0.001250,0.000425,0.003669
Profile P3: Tx100m / 45km / Rx110m,-13,IAE,20,0.0000,0.0500,0.0500,0.020833,0.015838,0.027360
Profile P3: Tx100m / 45km / Rx110m,-12,IAE,20,0.0000,0.0500,0.0500,0.000417,0.000074,0.002357
Profile P3: Tx100m / 45km / Rx110m,-11,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-10,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-9,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-8,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-7,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-6,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-5,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-4,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-3,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-2,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-1,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,0,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-14,VB-FQ,20,0.0000,0.0500,0.0500,0.000417,0.000074,0.002357
Profile P3: Tx100m / 45km / Rx110m,-13,VB-FQ,20,0.0000,0.0500,0.0500,0.000417,0.000074,0.002357
Profile P3: Tx100m / 45km / Rx110m,-12,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-11,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-10,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-9,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-8,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-7,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-6,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-5,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-4,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-3,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-2,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-1,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
